As of 31/12/2016,As of 31/12/2017,As of 31/12/2018,As of 31/12/2019,As of 31/12/2020,As of 31/12/2021,As of 31/12/2022
A,A,A,A,A,A,A
AAL,AAL,AAL,AAL,AAL,AAL,AAL
AAP,AAP,AAP,AAP,AAP,AAP,AAP
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV
ABT,ABT,ABMD,ABMD,ABMD,ABMD,ABT
ACN,ACN,ABT,ABT,ABT,ABT,ACGL
ADBE,ADBE,ACN,ACN,ACN,ACN,ACN
ADI,ADI,ADBE,ADBE,ADBE,ADBE,ADBE
ADM,ADM,ADI,ADI,ADI,ADI,ADI
ADP,ADP,ADM,ADM,ADM,ADM,ADM
ADSK,ADSK,ADP,ADP,ADP,ADP,ADP
AEE,AEE,ADSK,ADSK,ADSK,ADSK,ADSK
AEP,AEP,AEE,AEE,AEE,AEE,AEE
AES,AES,AEP,AEP,AEP,AEP,AEP
AET,AET,AES,AES,AES,AES,AES
AFL,AFL,AFL,AFL,AFL,AFL,AFL
AGN,AGN,AGN,AGN,AIG,AIG,AIG
AIG,AIG,AIG,AIG,AIZ,AIZ,AIZ
AIV,AIV,AIV,AIV,AJG,AJG,AJG
AIZ,AIZ,AIZ,AIZ,AKAM,AKAM,AKAM
AJG,AJG,AJG,AJG,ALB,ALB,ALB
AKAM,AKAM,AKAM,AKAM,ALGN,ALGN,ALGN
ALB,ALB,ALB,ALB,ALK,ALK,ALK
ALK,ALGN,ALGN,ALGN,ALL,ALL,ALL
ALL,ALK,ALK,ALK,ALLE,ALLE,ALLE
ALLE,ALL,ALL,ALL,ALXN,AMAT,AMAT
ALXN,ALLE,ALLE,ALLE,AMAT,AMCR,AMCR
AMAT,ALXN,ALXN,ALXN,AMCR,AMD,AMD
AME,AMAT,AMAT,AMAT,AMD,AME,AME
AMG,AMD,AMD,AMCR,AME,AMGN,AMGN
AMGN,AME,AME,AMD,AMGN,AMP,AMP
